"index","Date","Open","High","Low","Close","Adj.Close","Volume"
1,"2020-06-23",26159.390625,26314.970703,26105.970703,26156.099609,26156.099609,389980000
2,"2020-06-24",25992.960938,25992.960938,25296.730469,25445.939453,25445.939453,450120000
3,"2020-06-25",25365.220703,25769.609375,25209.789063,25745.599609,25745.599609,384560000
4,"2020-06-26",25641.689453,25641.689453,24971.029297,25015.550781,25015.550781,640860000
5,"2020-06-29",25152.449219,25601.150391,25096.160156,25595.800781,25595.800781,378070000
6,"2020-06-30",25512.429688,25905.380859,25475.140625,25812.880859,25812.880859,410780000
7,"2020-07-01",25879.380859,26019.310547,25713.609375,25734.970703,25734.970703,373180000
8,"2020-07-02",25936.449219,26204.410156,25778.119141,25827.359375,25827.359375,349130000
9,"2020-07-06",25996.080078,26297.529297,25996.080078,26287.029297,26287.029297,340690000
10,"2020-07-07",26172.009766,26174.929688,25866.580078,25890.179688,25890.179688,346820000
11,"2020-07-08",25950.060547,26109.490234,25816.25,26067.279297,26067.279297,337300000
12,"2020-07-09",26094.919922,26103.279297,25523.509766,25706.089844,25706.089844,387610000
13,"2020-07-10",25690.349609,26101.320313,25637.5,26075.300781,26075.300781,338170000
14,"2020-07-13",26225.070313,26639.089844,26044.230469,26085.800781,26085.800781,425320000
15,"2020-07-14",26044.169922,26690.519531,25994.980469,26642.589844,26642.589844,401640000
16,"2020-07-15",27009.810547,27071.330078,26692.480469,26870.099609,26870.099609,384900000
17,"2020-07-16",26746.570313,26879.160156,26590.009766,26734.710938,26734.710938,287330000
18,"2020-07-17",26774.619141,26808.429688,26619.880859,26671.949219,26671.949219,296460000
19,"2020-07-20",26660.289063,26765.019531,26504.199219,26680.869141,26680.869141,309390000
20,"2020-07-21",26833.140625,27025.380859,26766.220703,26840.400391,26840.400391,364930000
21,"2020-07-22",26824.560547,27035.240234,26794.189453,27005.839844,27005.839844,404340000
22,"2020-07-23",26955.970703,26973.849609,26560.039063,26652.330078,26652.330078,419800000
23,"2020-07-24",26533.410156,26625.699219,26402.859375,26469.890625,26469.890625,494170000
24,"2020-07-27",26447.669922,26625.460938,26426.919922,26584.769531,26584.769531,400930000
25,"2020-07-28",26529.449219,26556.839844,26361.710938,26379.279297,26379.279297,361090000
26,"2020-07-29",26388.439453,26602.449219,26375.390625,26539.570313,26539.570313,347580000
27,"2020-07-30",26367.419922,26374.929688,25992.279297,26313.650391,26313.650391,351540000
28,"2020-07-31",26409.330078,26440.019531,26013.589844,26428.320313,26428.320313,488050000
29,"2020-08-03",26542.320313,26707.259766,26534.380859,26664.400391,26664.400391,439380000
30,"2020-08-04",26664.609375,26832.720703,26597.820313,26828.470703,26828.470703,346350000
31,"2020-08-05",26924.779297,27221.669922,26924.779297,27201.519531,27201.519531,366000000
32,"2020-08-06",27170.820313,27394.099609,27145.25,27386.980469,27386.980469,322460000
33,"2020-08-07",27321.679688,27456.240234,27223.550781,27433.480469,27433.480469,321170000
34,"2020-08-10",27488.210938,27803.859375,27488.210938,27791.439453,27791.439453,360340000
35,"2020-08-11",27961.640625,28154.880859,27624.509766,27686.910156,27686.910156,428220000
36,"2020-08-12",27860.240234,28043.890625,27843.320313,27976.839844,27976.839844,340210000
37,"2020-08-13",27922.509766,27986.099609,27789.779297,27896.720703,27896.720703,360160000
38,"2020-08-14",27828.929688,27977.810547,27759.390625,27931.019531,27931.019531,275540000
39,"2020-08-17",27970.050781,27999.810547,27816.400391,27844.910156,27844.910156,286860000
40,"2020-08-18",27853.480469,27891.119141,27668.789063,27778.070313,27778.070313,276170000
41,"2020-08-19",27811.259766,27920.419922,27647.669922,27692.880859,27692.880859,311460000
42,"2020-08-20",27622.679688,27781.460938,27526.25,27739.730469,27739.730469,304550000
43,"2020-08-21",27758.130859,27959.480469,27686.779297,27930.330078,27930.330078,372720000
44,"2020-08-24",28077.580078,28314.939453,28041.75,28308.460938,28308.460938,383880000
45,"2020-08-25",28347.419922,28400.740234,28094.570313,28248.439453,28248.439453,338420000
46,"2020-08-26",28257.880859,28353.800781,28153.910156,28331.919922,28331.919922,327070000
47,"2020-08-27",28384.070313,28634.220703,28363.929688,28492.269531,28492.269531,404340000
48,"2020-08-28",28601.289063,28733.349609,28487.980469,28653.869141,28653.869141,369740000
49,"2020-08-31",28643.660156,28643.660156,28363.550781,28430.050781,28430.050781,517320000
50,"2020-09-01",28439.609375,28659.259766,28290.720703,28645.660156,28645.660156,423410000
51,"2020-09-02",28736.789063,29162.880859,28713.529297,29100.5,29100.5,539510000
52,"2020-09-03",29090.699219,29199.349609,28074.759766,28292.730469,28292.730469,650080000
53,"2020-09-04",28341.050781,28539.75,27664.679688,28133.310547,28133.310547,694640000
54,"2020-09-08",27925.230469,27925.230469,27464.900391,27500.890625,27500.890625,580860000
55,"2020-09-09",27711.710938,28206.210938,27704.539063,27940.470703,27940.470703,460590000
56,"2020-09-10",28022.509766,28174.779297,27447.080078,27534.580078,27534.580078,442850000
57,"2020-09-11",27613.859375,27828.820313,27448.150391,27665.640625,27665.640625,435330000
58,"2020-09-14",27718.740234,28086.060547,27718.740234,27993.330078,27993.330078,380750000
59,"2020-09-15",28139.759766,28231.060547,27931.449219,27995.599609,27995.599609,414520000
60,"2020-09-16",28031.689453,28364.769531,28021.669922,28032.380859,28032.380859,416650000
61,"2020-09-17",27834.179688,28056.789063,27647.929688,27901.980469,27901.980469,437230000
62,"2020-09-18",27864.869141,27946.689453,27487.970703,27657.419922,27657.419922,698710000
63,"2020-09-21",27484.710938,27484.710938,26715.150391,27147.699219,27147.699219,523660000
64,"2020-09-22",27170.339844,27333.089844,26989.929688,27288.179688,27288.179688,420720000
65,"2020-09-23",27413.599609,27464.460938,26716.119141,26763.130859,26763.130859,459470000
66,"2020-09-24",26716.089844,27094.849609,26537.009766,26815.439453,26815.439453,447810000
67,"2020-09-25",26694.509766,27239.289063,26635.380859,27173.960938,27173.960938,388900000
68,"2020-09-28",27362.140625,27722.599609,27362.140625,27584.060547,27584.060547,401860000
69,"2020-09-29",27560.240234,27605.599609,27338.089844,27452.660156,27452.660156,303820000
70,"2020-09-30",27514.640625,28026.330078,27511.060547,27781.699219,27781.699219,452550000
71,"2020-10-01",27940.630859,28041.460938,27669.259766,27816.900391,27816.900391,373450000
72,"2020-10-02",27536.390625,27861.429688,27382.939453,27682.810547,27682.810547,392770000
73,"2020-10-05",27825.419922,28162.640625,27825.419922,28148.640625,28148.640625,318210000
74,"2020-10-06",28214.240234,28354.480469,27728.029297,27772.759766,27772.759766,435030000
