"","data","rendimento giornaliero log"
"144",2021-02-05,0.00297025204123536
"145",2021-02-08,0.00759652906308617
"146",2021-02-09,-0.000316425638914097
"147",2021-02-10,0.00197316162937078
"148",2021-02-11,-0.000225917972599632
"149",2021-02-12,0.000880953105173887
"150",2021-02-16,0.00204345684359986
"151",2021-02-17,0.00285953883769707
"152",2021-02-18,-0.00379295626198228
"153",2021-02-19,3.11320978632068e-05
"154",2021-02-22,0.000868640900067774
"155",2021-02-23,0.000496682364808265
"156",2021-02-24,0.013370752081979
"157",2021-02-25,-0.0176714012446961
"158",2021-02-26,-0.015068715525107
"159",2021-03-01,0.0193110244438994
"160",2021-03-02,-0.00457642726554042
"161",2021-03-03,-0.00387573317103929
"162",2021-03-04,-0.011124915748022
"163",2021-03-05,0.018332974524915
"164",2021-03-08,0.0096728957906933
"165",2021-03-09,0.000952328049958595
"166",2021-03-10,0.0144796241366674
"167",2021-03-11,0.00582165020514935
"168",2021-03-12,0.00898050121551286
"169",2021-03-15,0.00531918867757675
"170",2021-03-16,-0.00387695415365563
"171",2021-03-17,0.00575390641333762
"172",2021-03-18,-0.00464711590785782
"173",2021-03-19,-0.00715621031090841
"174",2021-03-22,0.00315881006317476
"175",2021-03-23,-0.00945604169893777
"176",2021-03-24,-9.53020048726216e-05
"177",2021-03-25,0.006132286415788
"178",2021-03-26,0.0138039078151486
"179",2021-03-29,0.00297360934949609
"180",2021-03-30,-0.00315256255016116
"181",2021-03-31,-0.00258628703010189
"182",2021-04-01,0.00519123492827589
"183",2021-04-05,0.011217220539125
"184",2021-04-06,-0.00289596518899415
"185",2021-04-07,0.000479194883304501
"186",2021-04-08,0.00171198661020533
"187",2021-04-09,0.00882659039287681
"188",2021-04-12,-0.00163453460722174
"189",2021-04-13,-0.00202095028986982
"190",2021-04-14,0.00159093810558986
"191",2021-04-15,0.00900439041435952
"192",2021-04-16,0.00482684566808089
"193",2021-04-19,-0.00360416415717957
"194",2021-04-20,-0.00755032056899552
"195",2021-04-21,0.00930007525363408
"196",2021-04-22,-0.00945981998209255
"197",2021-04-23,0.00670771450615071
"198",2021-04-26,-0.00182044635843326
"199",2021-04-27,9.88538471951017e-05
"200",2021-04-28,-0.00485363486869872
"201",2021-04-29,0.00707067939698902
"202",2021-04-30,-0.00546132912579012
"203",2021-05-03,0.00701240204774933
"204",2021-05-04,0.000580274466523534
"205",2021-05-05,0.00284680694240258
"206",2021-05-06,0.00925265771335049
"207",2021-05-07,0.00661311299360179
"208",2021-05-10,-0.00100521048359781
"209",2021-05-11,-0.0137271120622415
"210",2021-05-12,-0.0200870866522056
"211",2021-05-13,0.0128324428385955
"212",2021-05-14,0.0105457357511369
"213",2021-05-17,-0.00158171792181783
"214",2021-05-18,-0.00781214572384492
"215",2021-05-19,-0.00484489143539868
"216",2021-05-20,0.00553425525972528
"217",2021-05-21,0.0036224319826772
"218",2021-05-24,0.00542670969831072
"219",2021-05-25,-0.00237298185101587
"220",2021-05-26,0.000308582039204808
"221",2021-05-27,0.00411672614885816
"222",2021-05-28,0.00187867144005693
"223",2021-06-01,0.00132724238340032
"224",2021-06-02,0.000724830182500469
"225",2021-06-03,-0.000674782163626375
"226",2021-06-04,0.00517360709988601
"227",2021-06-07,-0.00363621882165965
"228",2021-06-08,-0.00087875037448093
"229",2021-06-09,-0.0044224954950689
"230",2021-06-10,0.000554251055223887
"231",2021-06-11,0.000387645786826596
"232",2021-06-14,-0.00249302830534681
"233",2021-06-15,-0.00274909603830764
"234",2021-06-16,-0.00777538197905514
"235",2021-06-17,-0.00619605798676659
"236",2021-06-18,-0.015894927436781
"237",2021-06-21,0.0174759972072334
"238",2021-06-22,0.0020232032433114
"239",2021-06-23,-0.0021038060582601
"240",2021-06-24,0.00947787366487418
"241",2021-06-25,0.00690713080062721
"242",2021-06-28,-0.00438233084430983
"243",2021-06-29,0.000263053841250027
"244",2021-06-30,0.00611160459679994
"245",2021-07-01,0.00379019921364687
"246",2021-07-02,0.00440278933556826
"247",2021-07-06,-0.0060256599072197
"248",2021-07-07,0.00301528484829383
"249",2021-07-08,-0.00752088612827784
"250",2021-07-09,0.0129376014236779
"251",2021-07-12,0.00360745013825969
"252",2021-07-13,-0.00307335644414763
"253",2021-07-14,0.00127299130845415
"254",2021-07-15,0.00153858353226433
"255",2021-07-16,-0.00858759555222477
"256",2021-07-19,-0.0211461238841153
"257",2021-07-20,0.0160633473629659
"258",2021-07-21,0.00825316378083052
"259",2021-07-22,0.000728269806643311
"260",2021-07-23,0.00681692704564618
"261",2021-07-26,0.00235757676263937
"262",2021-07-27,-0.00244403560355089
"263",2021-07-28,-0.00364597766557573
"264",2021-07-29,0.00438765399424312
"265",2021-07-30,-0.00425771851430312
"266",2021-08-02,-0.00278926748154618
"267",2021-08-03,0.00795487112872451
"268",2021-08-04,-0.00926142703633737
"269",2021-08-05,0.00777530660974257
"270",2021-08-06,0.00410577066069173
"271",2021-08-09,-0.00303398340838967
"272",2021-08-10,0.00462778590244817
"273",2021-08-11,0.0062275252571613
"274",2021-08-12,0.000419323825923357
"275",2021-08-13,0.000437296144641053
"276",2021-08-16,0.00309301145750673
