"","data","rendimento giornaliero"
"144",2021-02-05,0.00300683709512147
"145",2021-02-08,0.00764813908808468
"146",2021-02-09,-0.000318788089644993
"147",2021-02-10,0.0019744847173378
"148",2021-02-11,-0.000226338617411844
"149",2021-02-12,0.000881142169993731
"150",2021-02-16,0.00204734894860695
"151",2021-02-17,0.00286948890846424
"152",2021-02-18,-0.00379661314447513
"153",2021-02-19,3.10147216098876e-05
"154",2021-02-22,0.000869045332618578
"155",2021-02-23,0.000497237465179956
"156",2021-02-24,0.0134672275936529
"157",2021-02-25,-0.0177519549341024
"158",2021-02-26,-0.0146937829708163
"159",2021-03-01,0.0192070708051636
"160",2021-03-02,-0.00465500183137096
"161",2021-03-03,-0.00385056997337404
"162",2021-03-04,-0.0110204674437108
"163",2021-03-05,0.0182973620752096
"164",2021-03-08,0.00989966627407281
"165",2021-03-09,0.000962042533524462
"166",2021-03-10,0.0145988579802549
"167",2021-03-11,0.0059237851222933
"168",2021-03-12,0.00907361686172681
"169",2021-03-15,0.00538147264185463
"170",2021-03-16,-0.00389008563408034
"171",2021-03-17,0.00574816330692506
"172",2021-03-18,-0.00466308870396367
"173",2021-03-19,-0.0070976054557383
"174",2021-03-22,0.00314124433002825
"175",2021-03-23,-0.00944124998774978
"176",2021-03-24,-9.44005741838098e-05
"177",2021-03-25,0.00615054119032653
"178",2021-03-26,0.0139851199951554
"179",2021-03-29,0.0030194284698558
"180",2021-03-30,-0.00315697210081894
"181",2021-03-31,-0.00257481539602224
"182",2021-04-01,0.00519128919412517
"183",2021-04-05,0.0113390807631594
"184",2021-04-06,-0.00292439622760259
"185",2021-04-07,0.00047792365921639
"186",2021-04-08,0.00171427417053637
"187",2021-04-09,0.00888085049670181
"188",2021-04-12,-0.00164767887375216
"189",2021-04-13,-0.00201561226278813
"190",2021-04-14,0.00158898980252135
"191",2021-04-15,0.00905945346071347
"192",2021-04-16,0.00488227826032986
"193",2021-04-19,-0.00361508436259183
"194",2021-04-20,-0.00749482717581846
"195",2021-04-21,0.00927317489933593
"196",2021-04-22,-0.00950318729847806
"197",2021-04-23,0.00666689473698002
"198",2021-04-26,-0.00183103128587654
"199",2021-04-27,9.86789300870469e-05
"200",2021-04-28,-0.00484235367831274
"201",2021-04-29,0.00706137900543424
"202",2021-04-30,-0.00548508970037272
"203",2021-05-03,0.00699871963696817
"204",2021-05-04,0.000584527461712205
"205",2021-05-05,0.0028525177082959
"206",2021-05-06,0.00932209634911924
"207",2021-05-07,0.00669670444537471
"208",2021-05-10,-0.00101137167734172
"209",2021-05-11,-0.0136196274167128
"210",2021-05-12,-0.0196155635570264
"211",2021-05-13,0.0126582927922747
"212",2021-05-14,0.0107384582708291
"213",2021-05-17,-0.00159722305332174
"214",2021-05-18,-0.00776941147915311
"215",2021-05-19,-0.00479556352137567
"216",2021-05-20,0.0055227753701322
"217",2021-05-21,0.0036491404134303
"218",2021-05-24,0.00546120802573651
"219",2021-05-25,-0.0023830657349825
"220",2021-05-26,0.000307898151234528
"221",2021-05-27,0.00412648466852448
"222",2021-05-28,0.00188819445024035
"223",2021-06-01,0.00133062101238724
"224",2021-06-02,0.000726055948387417
"225",2021-06-03,-0.000675043664080321
"226",2021-06-04,0.00518351439119363
"227",2021-06-07,-0.00364844264918549
"228",2021-06-08,-0.000875176261200211
"229",2021-06-09,-0.00440885467668771
"230",2021-06-10,0.000551958242188404
"231",2021-06-11,0.000387935885462146
